Time,Area,Round,Category
0,6.129,0.955,1
0,5.839,0.898,1
0,1.911,0.694,1
0,8.001,0.84,1
0,2.471,0.765,1
0,4.884,0.944,1
0,4.806,0.778,1
0,2.973,0.843,1
0,3.426,0.845,1
0,4.961,0.846,1
0,5.26,0.888,1
0,2.075,0.828,0
0,3.494,0.782,0
0,6.544,0.923,0
0,6.109,0.898,0
0,7.094,0.866,0
0,13.86,0.642,0
0,6.911,0.925,0
0,5.521,0.83,0
0,7.075,0.871,0
0,6.167,0.808,0
0,7.644,0.959,0
0,5.714,0.95,0
0,6.553,0.805,0
0,7.451,0.871,0
0,5.675,0.916,0
0,4.121,0.722,0
0,5.115,0.961,0
0,5.733,0.769,0
0,5.125,0.88,0
0,7.248,0.914,0
0,4.208,0.705,0
0,6.312,0.898,0
0,6.746,0.823,0
0,4.855,0.917,0
0,4.536,0.803,0
0,6.235,0.8,0
0,6.515,0.888,0
0,3.88,0.794,0
0,7.702,0.737,0
0,4.556,0.773,0
0,5.376,0.887,0
0,3.619,0.861,0
0,3.195,0.876,0
0,5.83,0.882,0
0,6.042,0.797,0
0,5.453,0.793,0
0,7.895,0.887,0
0,7.548,0.901,0
0,8.397,0.833,0
0,7.798,0.745,0
0,8.551,0.817,0
0,10.163,0.847,0
0,4.256,0.742,0
0,3.764,0.911,0
0,7.075,0.811,0
0,5.974,0.82,0
0,6.486,0.791,0
0,5.231,0.841,0
0,5.511,0.892,0
0,8.6,0.785,0
0,7.808,0.856,0
0,6.37,0.842,0
0,6.843,0.787,0
0,7.991,0.658,0
0,6.187,0.873,0
0,6.891,0.841,0
0,6.071,0.803,0
0,7.847,0.988,0
0,4.613,0.834,0
0,6.93,0.913,0
0,4.063,0.845,0
0,5.569,0.963,0
0,5.038,0.876,0
0,10.086,0.505,0
0,3.87,0.836,0
0,6.042,0.897,0
0,8.455,0.961,0
0,8.252,0.86,0
0,8.87,0.933,0
0,4.729,0.814,0
0,17.18,0.801,0
0,5.424,0.897,0
0,8.02,0.911,0
0,8.966,0.87,0
0,4.652,0.954,0
0,4.189,0.957,0
0,4.256,0.739,0
0,5.965,0.646,0
0,7.065,0.84,0
0,5.221,0.829,0
0,8.764,0.805,0
0,3.301,0.743,0
0,5.221,0.952,0
0,4.584,0.951,0
0,7.19,0.931,0
0,12.644,0.596,0
2,2.953,0.761,1
2,3.764,0.737,1
2,3.465,0.876,1
2,6.476,0.963,1
2,4.073,0.841,1
2,5.974,0.983,1
2,5.308,0.873,1
2,13.145,0.917,1
2,10.375,0.558,1
2,3.069,0.694,1
2,3.957,0.883,1
2,5.415,0.78,1
2,5.839,0.905,1
2,3.677,0.884,1
2,4.623,0.956,1
2,4.121,0.9,1
2,5.164,0.93,1
2,5.028,0.779,1
2,3.648,0.722,1
2,3.668,0.915,1
2,3.803,0.735,1
2,4.893,0.86,1
2,5.347,0.84,1
2,7.615,0.833,1
2,6.631,0.877,1
2,7.914,0.917,1
2,6.409,0.962,1
2,8.271,0.899,1
2,7.161,0.82,1
2,6.689,0.883,1
2,6.92,0.903,1
2,7.046,0.856,1
2,3.947,0.915,1
2,4.961,0.762,1
2,3.697,0.953,1
2,6.09,0.875,1
2,5.318,0.866,1
2,8.127,0.743,1
2,7.905,0.923,1
2,3.33,0.778,1
2,4.884,0.788,1
2,3.996,0.912,1
2,5,0.957,1
2,4.131,0.661,1
2,3.243,0.878,1
2,2.963,0.88,1
2,2.645,0.927,1
2,4.112,0.923,1
2,3.938,0.853,1
2,3.61,0.799,1
2,3.552,0.914,1
2,8.561,0.961,1
2,7.644,0.912,1
2,7.615,0.862,1
2,7.779,0.894,1
2,6.544,0.885,1
2,4.845,0.919,1
2,6.37,0.836,1
2,5.115,0.936,1
2,9.574,0.893,1
2,7.605,0.78,1
2,5.395,0.843,1
2,2.49,0.8,1
2,3.737,0.857,1
2,6.601,0.928,1
2,7.624,0.856,1
2,7.538,0.711,1
2,4.728,0.826,1
2,5.977,0.941,1
2,6.504,0.827,1
2,6.289,0.874,1
2,4.2,0.699,1
2,5.826,0.876,1
2,5.524,0.748,1
2,5.891,0.821,1
2,9.229,0.817,1
2,6.407,0.92,1
2,5.707,0.879,1
2,4.48,0.769,1
2,5.299,0.752,1
2,7.161,0.901,1
2,7.316,0.926,1
2,6.235,0.842,1
2,8.966,0.85,1
2,5.897,0.937,1
2,4.527,0.738,1
2,5.144,0.906,1
2,5.984,0.951,1
2,1.264,0.706,1
2,3.986,0.919,1
2,3.812,0.814,1
2,5.704,0.872,1
2,8.812,0.821,1
2,5.878,0.886,1
2,4.884,0.797,1
2,5.135,0.753,1
2,7.412,0.868,1
2,8.966,0.864,1
2,7.364,0.831,1
2,6.949,0.906,1
2,2.799,0.926,1
2,3.455,0.881,1
2,7.374,0.813,1
2,3.011,0.908,1
2,3.06,0.807,1
2,6.438,0.736,1
2,6.988,0.791,1
2,7.876,0.881,1
2,6.804,0.882,1
2,7.075,0.916,1
2,5.723,0.942,1
2,3.561,0.753,1
2,5.955,0.887,1
2,7.248,0.874,1
2,4.971,0.875,1
2,5.82,0.96,1
2,5.395,0.857,1
2,10.144,0.905,0
2,11.997,0.677,0
2,6.882,0.734,0
2,5.482,0.892,0
2,5.27,0.843,0
2,5.897,0.769,0
2,4.112,0.73,0
2,7.036,0.903,0
2,4.382,0.8,0
2,10.491,0.85,0
2,4.112,0.86,0
2,3.928,0.976,0
2,8.484,0.833,0
2,8.918,0.796,0
2,4.71,0.966,0
2,6.38,0.819,0
2,6.592,0.757,0
2,5.772,0.755,0
2,6.476,0.965,0
2,4.382,0.877,0
2,5.81,0.724,0
2,9.343,0.863,0
2,6.505,0.818,0
2,4.372,0.93,0
2,3.021,0.925,0
2,4.642,0.862,0
2,5.627,0.84,0
2,4.218,0.72,0
2,5.202,0.75,0
2,3.851,0.918,0
2,5.781,0.84,0
2,9.265,0.96,0
2,11.341,0.685,0
2,8.098,0.886,0
2,10.298,0.953,0
2,7.634,0.808,0
2,4.874,0.839,0
2,2.722,0.715,0
2,8.715,0.911,0
2,7.972,0.822,0
2,5.472,0.779,0
2,5.772,0.888,0
2,4.681,0.769,0
2,10.404,0.921,0
2,10.829,0.839,0
2,4.855,0.867,0
2,5.482,0.892,0
2,3.919,0.864,0
2,7.798,0.701,0
2,7.364,0.854,0
2,4.787,0.826,0
2,4.391,0.736,0
2,7.152,0.728,0
2,5.627,0.704,0
2,6.428,0.742,0
2,6.225,0.785,0
2,3.996,0.852,0
2,5.193,0.877,0
2,3.919,0.809,0
2,5.279,0.79,0
2,4.671,0.715,0
2,8.378,0.787,0
2,6.717,0.807,0
2,8.001,0.595,0
2,9.864,0.918,0
2,7.721,0.919,0
2,7.055,0.832,0
2,11.785,0.953,0
2,5.472,0.835,0
2,6.727,0.823,0
2,12.923,0.777,0
2,12.827,0.92,0
2,11.582,0.945,0
2,5.25,0.917,0
2,7.451,0.916,0
2,3.465,0.895,0
2,8.841,0.915,0
2,7.49,0.835,0
2,7.354,0.868,0
2,5.279,0.951,0
2,13.232,0.941,0
2,10.665,0.566,0
2,6.36,0.827,0
2,8.271,0.842,0
2,8.725,0.909,0
2,7.046,0.927,0
2,5.598,0.719,0
2,10.578,0.866,0
2,11.871,0.799,0
2,5.55,0.781,0
2,6.264,0.804,0
2,7.798,0.89,0
2,6.235,0.811,0
2,11.07,0.889,0
2,14.458,0.911,0
2,10.404,0.916,0
2,9.294,0.88,0
2,10.047,0.891,0
2,9.565,0.91,0
2,11.379,0.79,0
2,12.858,0.839,0
2,13.515,0.879,0
2,12.093,0.818,0
2,6.515,0.907,0
2,6.192,0.853,0
2,4.038,0.952,0
2,11.458,0.836,0
2,10.424,0.883,0
2,11.943,0.801,0
2,9.024,0.884,0
2,17.295,0.94,0
2,13.127,0.879,0
2,13.063,0.795,0
2,19.449,0.607,0
2,15.776,0.893,0
2,5.357,0.825,0
2,7.509,0.949,0
2,6.573,0.912,0
2,10.057,0.768,0
2,9.719,0.906,0
2,10.511,0.929,0
2,12.711,0.529,0
2,7.229,0.458,0
2,9.034,0.755,0
2,9.41,0.658,0
2,11.427,0.938,0
2,10.25,0.854,0
2,13.503,0.875,0
2,9.574,0.908,0
2,8.368,0.966,0
2,11.128,0.854,0
2,11.582,0.749,0
4,12.846,0.752,1
4,9.217,0.916,1
4,6.727,0.944,1
4,10.511,0.893,1
4,10.308,0.72,1
4,6.679,0.622,1
4,5.154,0.991,1
4,9.15,0.796,1
4,15.317,0.971,1
4,6.775,0.871,1
4,9.931,0.903,1
4,7.548,0.855,1
4,9.169,0.929,1
4,7.934,0.871,1
4,8.378,0.857,1
4,10.279,0.898,1
4,6.515,0.914,1
4,6.862,0.925,1
4,6.911,0.818,1
4,11.891,0.975,1
4,9.362,0.729,1
4,11.061,0.946,1
4,11.08,0.742,1
4,13.329,0.906,1
4,6.785,0.766,1
4,10.192,0.866,1
4,13.782,0.987,1
4,15.616,0.915,1
4,11.929,0.905,1
4,10.559,0.987,1
4,9.603,0.867,1
4,15.78,0.471,1
4,7.683,0.479,1
4,5.415,0.652,1
4,10.926,0.616,1
4,9.179,0.965,1
4,8.696,0.942,1
4,8.754,0.863,1
4,10.549,0.973,1
4,14.545,0.871,1
4,13.02,0.839,1
4,11.968,0.969,1
4,15.973,0.887,1
4,15.307,0.78,1
4,14.101,0.572,1
4,11.485,0.972,1
4,12.644,0.918,1
4,20.548,0.512,1
4,17.797,0.68,1
4,15.829,0.799,1
4,9.681,0.915,1
4,8.513,0.819,1
4,9.738,0.794,1
4,5.665,0.817,1
4,5.665,0.856,1
4,10.868,0.734,1
4,11.051,0.856,1
4,10.81,0.884,1
4,7.712,0.895,1
4,12.499,0.912,1
4,13.744,0.807,1
4,12.759,0.473,1
4,14.275,0.824,1
4,15.771,0.867,1
4,16.996,0.906,1
4,8.213,0.818,1
4,11.592,0.966,1
4,10.115,0.734,1
4,12.73,0.797,1
4,11.186,0.886,1
4,6.988,0.902,1
4,7.181,0.853,1
4,6.071,0.841,1
4,10.974,0.843,1
4,15.269,0.888,1
4,10.819,0.917,1
4,10.733,0.845,1
4,7.963,0.985,1
4,8.464,0.966,1
4,6.756,0.886,1
4,9.487,0.916,1
4,14.111,0.965,1
4,10.559,0.874,1
4,6.785,0.782,1
4,9.835,0.961,1
4,6.679,0.901,1
4,5.328,0.552,1
4,6.65,0.838,1
4,7.76,0.773,1
4,10.617,0.881,1
4,5.395,0.887,1
4,7.48,0.919,1
4,7.161,0.923,1
4,11.009,0.846,1
4,7.96,0.933,1
4,8.095,0.769,1
4,10.555,0.819,1
4,9.648,0.79,1
4,5.915,0.875,1
4,5.683,0.787,1
4,13.247,0.785,1
4,10.71,0.888,1
4,8.327,0.788,1
4,7.95,0.878,1
4,6.677,0.947,1
4,8.375,0.945,1
4,7.69,0.975,1
4,8.819,0.881,1
4,7.815,0.967,1
4,7.728,0.882,1
4,5.548,0.918,1
4,5.886,0.834,1
4,12.746,0.792,1
4,12.866,0.884,1
4,11.823,0.846,1
4,7.432,0.958,1
4,7.451,0.679,1
4,10.269,0.948,1
4,8.976,0.918,1
4,12.209,0.978,1
4,7.673,0.875,1
4,7.905,0.907,1
4,8.098,0.779,1
4,8.696,0.903,1
4,7.625,0.906,1
4,11.553,0.778,1
4,14.641,0.925,1
4,9.574,0.982,1
4,7.876,0.909,1
4,5.318,0.786,1
4,5.231,0.8,1
4,5.415,0.922,1
4,11.543,0.852,1
4,6.959,0.964,1
4,5.386,0.883,1
4,5.328,0.833,1
4,6.872,0.934,1
4,10.231,0.929,1
4,6.119,0.914,1
4,7.335,0.918,1
4,8.474,0.869,1
4,5.241,0.829,1
4,4.131,0.86,1
4,6.505,0.927,1
4,12.026,0.873,1
4,10.916,0.916,1
4,8.3,0.832,1
4,5.125,0.944,1
4,7.354,0.851,1
4,8.677,0.965,1
4,8.406,0.85,1
4,9.401,0.897,1
4,10.588,0.85,1
4,6.872,0.801,1
4,6.283,0.848,1
4,9.507,0.867,1
4,4.778,0.856,1
4,7.837,0.836,1
4,9.613,0.965,1
4,16.301,0.872,0
4,9.574,0.857,0
4,18.521,0.921,0
4,11.331,0.859,0
4,22.7,0.858,0
4,12.518,0.876,0
4,14.448,0.899,0
4,8.522,0.842,0
4,21.407,0.829,0
4,18.386,0.793,0
4,12.229,0.981,0
4,13.068,0.871,0
4,17.006,0.972,0
4,18.714,0.9,0
4,12.277,0.913,0
4,35.083,0.469,0
4,18.492,0.984,0
4,14.892,0.862,0
4,25.355,0.858,0
4,19.892,0.879,0
4,17.189,0.943,0
4,23.502,0.637,0
4,17.296,0.818,0
4,24.776,0.892,0
4,16.079,0.717,0
4,24.602,0.412,0
4,21.986,0.768,0
4,15.076,0.829,0
4,14.091,0.863,0
4,24.418,0.742,0
4,33.211,0.955,0
4,6.245,0.925,0
4,31.03,0.884,0
4,20.857,0.507,0
4,17.228,0.834,0
4,25.48,0.909,0
4,29.292,0.915,0
4,30.808,0.503,0
4,12.306,0.85,0
4,12.026,0.711,0
4,15.607,0.888,0
4,11.408,0.952,0
4,24.978,0.753,0
4,24.582,0.467,0
4,18.801,0.822,0
4,8.223,0.875,0
4,8.242,0.882,0
4,10.665,0.797,0
4,10.231,0.91,0
4,22.199,0.875,0
4,26.175,0.736,0
4,15.22,0.638,0
4,20.664,0.476,0
4,11.939,0.844,0
4,21.957,0.909,0
4,22.903,0.918,0
4,19.515,0.884,0
4,21.224,0.91,0
4,21.282,0.526,0
4,21.369,0.593,0
4,10.26,0.874,0
4,14.371,0.743,0
4,14.12,0.833,0
4,14.497,0.848,0
4,11.476,0.902,0
4,23.801,0.905,0
4,13.232,0.674,0
4,10.279,0.824,0
4,9.285,0.859,0
4,11.505,0.922,0
4,19.824,0.819,0
4,17.305,0.698,0
4,16.369,0.763,0
4,14.033,0.697,0
4,9.449,0.979,0
4,26.04,0.692,0
4,23.859,0.864,0
4,11.148,0.924,0
4,17.884,0.39,0
4,16.437,0.822,0
4,15.626,0.95,0
4,16.466,0.975,0
4,11.852,0.541,0
4,20.905,0.84,0
4,12.682,0.834,0
4,16.369,0.922,0
4,11.35,0.827,0
4,16.128,0.937,0
4,18.193,0.991,0
4,12.875,0.809,0
4,13.84,0.918,0
4,14.511,0.85,0
4,15.36,0.859,0
4,19.017,0.926,0
4,13.903,0.758,0
4,16.441,0.523,0
4,8.848,0.886,0
4,8.616,0.889,0
4,13.676,0.935,0
4,17.855,0.888,0
4,29.235,0.902,0
4,20.095,0.95,0
4,9.323,0.958,0
4,21.079,0.864,0
4,13.174,0.899,0
4,28.993,0.895,0
4,17.344,0.955,0
4,11.852,0.904,0
4,18.936,0.941,0
4,13.348,0.78,0
4,27.864,0.892,0
4,28.202,0.933,0
4,38.095,0.457,0
4,14.207,0.89,0
4,18.618,0.894,0
6,11.144,0.897,1
6,11.848,0.905,1
6,7.757,0.853,1
6,9.677,0.962,1
6,13.083,0.89,1
6,13.527,0.901,1
6,10.295,0.917,1
6,11.713,0.9,1
6,9.523,0.972,1
6,12.775,0.893,1
6,13.846,0.859,1
6,8.22,0.826,1
6,7.892,0.767,1
6,7.526,0.919,1
6,9.041,0.852,1
6,16.509,0.754,1
6,9.919,0.869,1
6,9.291,0.987,1
6,11.308,0.842,1
6,9.06,0.976,1
6,7.584,0.796,1
6,5.326,0.875,1
6,10.829,0.831,1
6,3.87,0.696,1
6,4.343,0.919,1
6,15.24,0.935,1
6,9.487,0.759,1
6,6.129,0.87,1
6,7.528,0.863,1
6,5.357,0.852,1
6,8.937,0.838,1
6,9.15,0.824,1
6,7.741,0.886,1
6,11.408,0.837,1
6,12.595,0.868,1
6,6.158,0.632,1
6,10.453,0.823,1
6,8.522,0.874,1
6,13.918,0.913,1
6,12.016,0.84,1
6,12.682,0.912,1
6,9.14,0.797,1
6,10.974,0.912,1
6,11.717,0.834,1
6,12.769,0.892,1
6,15.163,0.948,1
6,11.09,0.932,1
6,21.465,0.362,1
6,38.095,0.233,1
6,15.597,0.714,1
6,15.095,0.912,1
6,8.242,0.895,1
6,5.289,0.951,1
6,9.613,0.92,1
6,12.093,0.91,1
6,11.553,0.947,1
6,31.792,0.317,1
6,6.814,0.899,1
6,24.322,0.262,1
6,33.143,0.186,1
6,13.271,0.929,1
6,12.238,0.399,1
6,7.895,0.902,1
6,9.005,0.814,1
6,14.979,0.774,1
6,13.416,0.788,1
6,27.642,0.35,1
6,6.891,0.827,1
6,11.736,0.658,1
6,16.552,0.578,1
6,8.918,0.833,1
6,10.25,0.791,1
6,10.955,0.577,1
6,11.283,0.904,1
6,15.78,0.607,1
6,9.121,0.9,1
6,14.699,0.859,1
6,11.186,0.945,1
6,6.167,0.893,1
6,7.769,0.731,1
6,12.576,0.853,1
6,38.876,0.26,1
6,12.45,0.83,1
6,16.108,0.93,1
6,13.763,0.93,1
6,13.435,0.887,1
6,10.298,0.829,1
